Date and Time:                Thu May 24 15:50:28.796 2018
Software Version:             4.30.30034.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Accumulate Cycle Time (secs): 1.0448
Frequency (Hz):               0.95709
Number of Accumulations:      500
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 250
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                
681.09552	524254
681.21783	614317
681.34021	630345
681.46259	590875
681.58496	576016
681.70734	575367
681.82971	609275
681.95203	577757
682.0744	567795
682.19678	599175
682.31909	606238
682.44147	569365
682.56378	542404
682.68616	562541
682.80847	605912
682.93079	607041
683.05316	606177
683.17548	585625
683.29779	559781
683.4201	586542
683.54242	579911
683.66473	589613
683.78705	608478
683.90936	506056
684.03168	599812
684.15399	612882
684.27631	597762
684.39862	601118
684.52087	566026
684.64319	574962
684.7655	603919
684.88776	613963
685.01007	590219
685.13232	598312
685.25464	580511
685.37689	605353
685.49921	564793
685.62146	614577
685.74371	590276
685.86603	584288
685.98828	553554
686.11053	555643
686.23279	565359
686.35504	555638
686.47729	599870
686.59955	592236
686.7218	559676
686.84406	542947
686.96625	570675
687.0885	617744
687.21075	529408
687.33301	622034
687.4552	616433
687.57745	531528
687.69965	468542
687.8219	598372
687.94409	542606
688.06635	585946
688.18854	556786
688.31073	589304
688.43292	578243
688.55518	566297
688.67737	543671
688.79956	531731
688.92175	539854
689.04395	593337
689.16614	590602
689.28833	567512
689.41052	520330
689.53265	627777
689.65485	522403
689.77704	549529
689.89923	487562
690.02136	578055
690.14355	612002
690.26569	569572
690.38788	612542
690.51001	581846
690.6322	578359
690.75433	527089
690.87646	616945
690.9986	591587
691.12079	597010
691.24292	580418
691.36505	550836
691.48718	513142
691.60931	564838
691.73145	565303
691.85358	561550
691.97565	593745
692.09778	569426
692.21991	580154
692.34204	522237
692.46411	561502
692.58624	569825
692.70831	546111
692.83044	599273
692.95251	529542
693.07465	531704
693.19672	539645
693.31879	557997
693.44092	487085
693.56299	521759
693.68506	566810
693.80713	567202
693.9292	559099
694.05127	549951
694.17334	580132
694.29541	553892
694.41748	492463
694.53955	552567
694.66156	545014
694.78363	569974
694.9057	588322
695.02771	572297
695.14978	547602
695.27179	504489
695.39386	568543
695.51587	563574
695.63794	469823
695.75995	533989
695.88196	549601
696.00397	541591
696.12598	554072
696.24805	555986
696.37006	555797
696.49207	530688
696.61407	540167
696.73602	504395
696.85803	507399
696.98004	558817
697.10205	555374
697.22406	488054
697.34601	577151
697.46802	533374
697.58997	579481
697.71198	567489
697.83392	490835
697.95593	513557
698.07788	507022
698.19983	519226
698.32184	504655
698.44379	518793
698.56573	521922
698.68768	498328
698.80963	464181
698.93158	544175
699.05353	525837
699.17548	524651
699.29742	526167
699.41931	585673
699.54126	516756
699.66321	528255
699.7851	541109
699.90704	475308
700.02893	473933
700.15088	509492
700.27277	484185
700.39471	551569
700.5166	534353
700.63849	483987
700.76038	516098
700.88232	513168
701.00421	518323
701.1261	503004
701.24799	470344
701.36987	525141
701.49176	551841
701.61359	455984
701.73547	502893
701.85736	506520
701.97925	498961
702.10107	485533
702.22296	509811
702.34479	515056
702.46667	511898
702.5885	455450
702.71039	518676
702.83221	533477
702.95404	482578
703.07587	465664
703.19775	512589
703.31958	510216
703.44141	524903
703.56323	517416
703.68506	472783
703.80682	494444
703.92865	503501
704.05048	463727
704.1723	438824
704.29413	487941
704.41589	502464
704.53772	533476
704.65948	486186
704.78131	502462
